topic,perspective,argument
"Kneeling during National Anthem","pro","When prominent people kneel during the national anthem, it shocks people and generates useful debate."
"Kneeling during National Anthem","pro","When one believes the United States is not living up to its ideals of justice for all, kneeling during the national anthem is appropriate and justified."
"Kneeling during National Anthem","con","Kneeling during the national anthem angers many, spurring greater social division and even ruining careers."
"Defund the Police","pro","Police were not intended to do many of the jobs they perform."
"Defund the Police","con","The level of police misconduct is overstated, more (not fewer) police are being called for in crime-ridden areas, and reforms are both possible and supported by a majority of Americans."
"Defund the Police","con","When police department budgets are cut, violence and civilian injuries increase, and departments turn to “taxation by citation” to raise money."
"Cancel Culture","pro","Cancel culture allows marginalized people to seek accountability where the justice system fails."
"Cancel Culture","pro","Cancel culture is simply a new form of boycott, a cherished tactic in the civil rights movement, to spur social change."
"Cancel Culture","con","Cancel culture is online bullying, often inciting violence and threats that are worse than the supposed offense being called out."
"Cancel Culture","con","Cancel culture is a slippery slope that spurs intolerance as people systematically exclude anyone who disagrees with their views."
"Paying College Athletes","pro","College athletes are risking their bodies as well as their future careers and earning potential to play for colleges and universities while often receiving a sub-par education."
"Paying College Athletes","pro","College athletes are often valued at more than $1 million, but they (and their families) frequently live below the poverty line."
"Paying College Athletes","con","Very few college athletes will go pro, so athletes should take advantage of the education being offered in exchange for playing a college sport."
"Paying College Athletes","con","Paying college athletes would not solve the real problem: the American amateur sports system is broken."
"Fracking","pro","Natural gas is a necessary bridge fuel to get to 100% clean energy and shrink coal and oil production, and fracking is the best way to extract natural gas."
"Fracking","pro","Fracking has allowed the U.S to produce and export more natural gas, which has increased national security and moved the country toward energy independence."
"Fracking","con","Fracking pollutes groundwater, increases greenhouse gases, and causes earthquakes." 
"Historic Statue Removal\xa0","pro","Many of these statues misrepresent history, glorifying people who perpetuated slavery, seceded from the country, and lost the Civil War."
"Historic Statue Removal\xa0","pro","These statues are racist and offensive and pay homage to hate."
"Historic Statue Removal\xa0","pro","The statues should be replaced with monuments that reflect the historical progress and diversity of the country."
"Historic Statue Removal\xa0","con","Statues remind us of our complicated past, and removing them is to censor, whitewash, and potentially forget history."
"Historic Statue Removal\xa0","con","Statue removal is a slippery slope that can endanger monuments to worthy heroes, no matter how imperfect these heroes or their times may have been."
"Electoral College","pro","The Electoral College ensures that all parts of the country are involved in selecting the president of the United States."
"Electoral College","pro","The Electoral College was created to protect the voices of the minority from being overwhelmed by the will of the majority."
"Electoral College","con","The Electoral College gives too much power to swing states and allows the presidential election to be decided by a handful of states."
"Electoral College","con","The Electoral College undermines representative democracy and the notion of one person, one vote."
"US Supreme Court Packing","pro","Court-packing is needed to offset the dangerously partisan Supreme Court."
"US Supreme Court Packing","pro","The Supreme Court has an ideological imbalance that court-packing can correct."
"US Supreme Court Packing","con","The Supreme Court, throughout its long history, has largely been balanced, making court-packing unnecessary."
"US Supreme Court Packing","con","Court-packing would increase political interference in an independent branch of government."
"Prescription Drug Costs","pro","Too many companies with too many private interests are involved in drug pricing, resulting in high prices and limited access to important drugs due to corporate greed."
"Prescription Drug Costs","con","Expanded access to affordable insurance that better serves customers by covering a larger percentage of prescription drug costs would more effectively lower drug costs for patients."
"Banned Books","pro","Keeping books with inappropriate content out of libraries protects kids but doesn’t stop people from reading those books or prevent authors from writing them."
"Banned Books","con","Parents may control what their own children read but don’t have a right to restrict what books are available to other people."
"Cuba Embargo","pro","Ending the embargo would only help the Cuban government, not regular Cuban citizens."
"Cuba Embargo","pro","Cuba has not met the conditions required to lift the embargo or shown a willingness to negotiate in good faith with the United States."
"Cuba Embargo","con","The embargo is hypocritical, and the United States should not have trading and travel policies for Cuba different from those for other countries with governments or policies it opposes."
"Video Games and Violence","pro","By inhabiting violent characters in video games, children are more likely to imitate the behaviors of those characters and have difficulty distinguishing reality from fantasy."
"Video Games and Violence","pro","Video games that portray violence against women lead to more harmful attitudes and sexually violent actions towards women."
"Video Games and Violence","pro","Violent video games reinforce fighting as a means of dealing with conflict by rewarding the use of violent action with increased life force, more weapons, moving on to higher levels, and more."
"Video Games and Violence","con","Violent video games are a convenient scapegoat for those who would rather not deal with the actual causes of violence in the U.S."
"Video Games and Violence","con","Violent video game players know the difference between virtual violence in the context of a game and appropriate behavior in the real world."
"Video Games and Violence","con","Violent video games provide opportunities for children to explore the consequences of violent actions, develop their moral compasses, and release their stress and anger (catharsis) in the game, leading to less real world aggression."
"Reparations for Slavery","pro","There is government precedent for paying reparations to the descendants of slaves and to other groups."
"Universal Basic Income","pro","UBI leads to positive job growth and a better educated citizenry."
"Universal Basic Income","pro","UBI reduces gender inequality."
"Universal Basic Income","con","UBI increases poverty by giving to everyone instead of targeting the poor."
"American Socialism","pro","Socialist policies can work with capitalist structures to undo the harm done by unfettered capitalism."
"American Socialism","con","The job of the U.S. government is to promote equal opportunity, not promise equal results."
"DC and Puerto Rico Statehood","pro","Denying D.C. and Puerto Rico statehood is a racist and partisan ploy to deny voting rights to about 3.8 million voters."
"DC and Puerto Rico Statehood","con","Granting D.C. or Puerto Rico statehood is a partisan ploy by liberals to unfairly gain more voters for the passage of legislation that the majority of Americans reject and which couldn’t win approval under existing laws."
"Vaping E-Cigarettes","con","Disposable vapes and cigarettes are both bad for the environment."
"Space Colonization","pro","Humans have a right and a moral duty to save our species from suffering and extinction."
"Space Colonization","con","Humans living in space is pure science fiction."
"GMOs (Genetically Modified Organisms)","pro","Genetically modified (GM) crops have been proven safe through testing and use and can even increase the safety of common foods."
"GMOs (Genetically Modified Organisms)","con","Tinkering with the genetic makeup of plants may result in changes to the food supply that introduce toxins or trigger allergic reactions."
"Penny","con","The penny has practically no value and should be taken out of circulation just as other coins have been in U.S. history."
